procedure_id,service_siret,service_adresse,nb_groupe_instructeur,nb_instructeur,nb_expert
41065,13002920000016,"112 rue de la République – Accueil – CS 21076 – 97400 SAINT DENIS

",1,6,51
42325,34070921100080,"216 rue Raymond Losserand, 75014 Paris",1,2,0
42424,13002920000016,112 avenue de la République - Accueil - CS 21076 - 97400 SAINT DENIS,1,5,4
42999,28350356300035,"Village des Collectivités Territoriales
1 avenue de Tizé
CS 13600
35236 THORIGNÉ-FOUILLARD CEDEX",1,6,0
43209,12000201900020,"139 rue de Bercy, 75572 Paris Cedex 12",1,91,0
43965,13001100000010,131 Rue du Faubourg BANNIER - 45042 Orléans cedex1,1,4,1
44899,13002920000016,"112, Rue de la République - 97488 Saint-Denis Cedex",1,5,46
45331,13002696600015,XXXXXXXXXX,1,12,57
46394,17920001900091,"2bis rue Damiens, 92100 Boulogne-Billancourt",1,3,0
46443,19920161700032,"152 avenue de Verdun
92130 ISSY LES MOULINEAUX",1,6,1
46781,,"21 - 27 avenue du Général de Gaulle
94000 CRETEIL",1,5,0
46943,,"Préfecture de Meurthe-et-Moselle
Rue Sainte Catherine
54000 NANCY",1,18,0
47332,32372216500020,"2 rue Ambroise Croizat, 91039 Evry Cedex ",1,2,0
47383,19530040500014,"1 rue Edouard Branly, 53200 CHÂTEAU GONTIER SUR MAYENNE",1,3,0
47497,17370001400017,15 rue Bernard Palissy 37925 TOURS,1,33,44
47878,13001653800014,14 avenue Duquesne 75007 PARIS,18,81,7
48007,17320001500019,"3, place du Préfet Claude Erignac - BP 10322 - 32007 AUCH CEDEX",1,19,57
48278,,10 rue de la convention - 25 030 BESANCON CEDEX,1,2,0
48483,13002950700014,"Académie de Paris : enseignementsuperieur.prive@ac-paris.fr 01 40 46 22 07 ou 01 40 46 21 73 
Académie de Créteil : ce.des@ac-creteil.fr 01 57 02 64 72
Académie de Versailles : ce.desr@ac-versailles.fr 01 30 83 44 61",3,13,2
49087,,Tour Séquoia 92055 La Défense Cedex,12,40,13
49486,17380430300019,Place Bir-Hakeim 38000 GRENOBLE,1,88,2
50089,32339136700030,"2 rue des Chauffours, 95000 Cergy",1,6,0
50241,,"39, rue Saint Blaise
61000 ALENCON",1,5,0
50729,11006801200050,Ministère de la Transition Energétique - DGEC 92055 La Défense cedex,1,19,1
51341,13001124000012,"Cité administrative
2 rue Jules Ferry
33090 BORDEAUX",1,5,0
51878,17760000400044,7 place de la Madeleine 76036 Rouen Cedex,1,2,0
52008,13000398100011,"13, rue du Châtellier - CS 92803
29228 Brest CEDEX 2",4,3,56
52083,13002734500011,"Cité administrative 2, rue Jules Ferry, 33000 BORDEAUX",1,3,0
52604,13000783400075,"3, Boulevard Joffre - 54000 Nancy",1,4,0
52677,77571079100077,9 bd Maignan Larivière 80022 AMIENS cedex 9,1,17,0
53407,34995887600188,"192 avenue Aristide Briand 
92220 Bagneux",1,8,0
53507,13000902000012,"10 Bd Général Vanier
CS 75224
14052 CAEN Cedex 4",1,5,155
53644,13001029100016,"89, avenue des Cordeliers
CS 80000
17018 La Rochelle CEDEX 1",1,1,0
53930,17750000600024,"5 rue leblanc, 75015 PARIS",1,8,8
54237,19202090700015,"Quai des Martyrs de la Libération, 20200 Bastia",1,3,0
54520,13002756800018,"SGCD
8 rue Châteaubriand
Nantes",69,90,46
54521,11004601800013,"5 Rue Salle l’Evêque
34000 Montpellier",1,14,1
54667,,"Agence de Services et de Paiement, DR Grand Est, Site Chalons en Champagne, 2 rue du Gantelet, 51000, CHALONS-EN-CHAMPAGNE",1,20,1
55154,,Citée Administrative Boulevard TOURASSE 64032 PAU Cedex,1,4,0
55603,,9 place de la préfecture 57000 METZ,1,1,0
56957,,"Direction de la Protection des Populations de Vendée
185, boulevard du Maréchal Leclerc
B.P. 90795
85 020 LA ROCHE SUR YON CEDEX",1,7,51
57194,13000938400020,"185, Boulevard du Maréchal Leclerc
85020 LA ROCHE SUR YON CEDEX",1,12,1
58144,18002002600019,"19, cité Voltaire, 75011 Paris",1,6,2
58172,13000829500029,"Direction de la Protection des Populations du Morbihan
32 boulevard de la Résistance
56 000 VANNES",1,1,57
58754,13002932500573,"Ponant 2
27-29, rue Leblanc - 75015 Paris ",1,36,10
59103,13000717200013,"Cité administrative - Bat. E 
Boulevard Armand Duportal
31 074 Toulouse cédex",47,55,6
60078,18751275100020,rue d'Oradour-sur-Glane 75015 Paris,1,49,0
60322,17320001500019,"3, place du Préfet Claude Erignac - BP 10322 - 32007 AUCH CEDEX",1,19,73
60405,24440040400129,"2, cours du champ de mars 
44923 Nantes Cedex 9",1,7,0
60414,13000474000010,"Immeuble Vehiarii - 25 avenue Pierre Loti, Titioro
BP 1632 - 98713 Papeete",1,7,3
60948,18003611300017,"ANSM
143/147, boulevard Anatole France
93285 SAINT-DENIS CEDEX",1,4,0
61260,,9 rue Gaëtan Rondeau 44958 NANTES cedex 9,1,3,0
62369,17310001700016,"1, place Saint-Etienne
31000 Toulouse",1,5,0
62459,13002736000028,"81, bd boulevard d'Armorique à Rennes",1,2,2
62962,13000474000010,"Immeuble Vehiarii - 25 avenue Pierre Loti, Titioro
BP 1632 - 98713 Papeete",1,6,0
62987,17540431800628, DSDEN 54 - 9 rue des Brice CS 30 013 54 035 Nancy CEDEX,1,2,3
63504,13001032500061,31 Mail Pierre Charlot 41000 Blois,1,4,0
63592,11006801200050,Ministère de la Transition Energétique - DGEC 92055 La Défense cedex,1,9,0
63598,13000657000019,"56 rue Jules Barni
80000 Amiens",1,4,120
63720,13000801400107,"13 rue  du Landy 
93200 Saint Denis",317,316,5
63725,13000801400107,"13 rue  du Landy 
93200 Saint Denis",318,316,8
63982,11000201100044,5 rue Françoise Giroud 44 000 Nantes,14,3,76
64229,17540001900014,"6, rue Sainte-Catherine
54000 Nancy",1,41,3
65655,17290001100013,"42, Boulevard Dupleix, 29 320 Quimper cédex",1,27,21
65804,,"Direction du développement social et de l’insertion
390 avenue des Lices
CS 41303
83076 TOULON Cedex",1,11,0
66317,17790001600011,"BP 70000 79099, 4 Rue du Guesclin, 79000 Niort",1,2,0
66841,17780001800067,"1 rue Jean Houdon
78000 Versailles",1,4,0
67048,17950001200010,"5 avenue Bernard Hirsch, 95010 Cergy-Pontoise CEDEX",1,6,0
67064,17380001200010,"12 place de Verdun
CS 71046 
38021 GRENOBLE CEDEX 1",1,6,0
67136,17370001400017,15 rue Bernard Palissy 37925 TOURS,1,39,24
67283,17380430300019,"Rectorat de Grenoble
7 place Bir-Hakeim - CS 81065
38021 GRENOBLE Cedex 1",1,5,2
67543,22110001900019,"Allée Raymond Courrière
11855 Carcassonne Cedex 9",1,5,0
68365,19740068200013,35 route du Bouchet 74400 CHAMONIX,1,3,0
69986,17780430900199,"3, boulevard de Lesseps
78000 Versailles",5,31,9
70390,17910431000018,"Boulevard de France - Georges Pompidou
91012 - Evry-Courcouronnes",1,14,4
70505,17330430400012,30 cours de Luze BP 919 33060 Bordeaux cedex,1,2,0
70911,12006401900074,50 rue Henry Farman 75720 Paris Cedex 15,192,53,13
70987,17780431700713,"19 avenue du Centre
78280 GUYANCOURT",1,12,15
71025,13000775000016,"4, place Laennec - 26000 Valence",1,3,0
71666,17350430900019,"96, rue d'Antrain - CS 10503 - 35705 RENNES Cedex 7",1,5,0
72194,22950127500015,2 avenue du Parc 95000 CERGY,1,2,2
74111,13000867500188,"1, allée du général Le Troadec
BP 520
56019 VANNES CEDEX",1,3,0
75200,13002932500573,"10 rue Crillon
75004 Paris",1,4,0
75643,32353226700057,"CPAM des Yvelines
78085 YVELINES cedex 9",1,11,3
75783,11004601800013,"4, rue de la Préfecture
09000 Foix",9,7,0
76979,13000815400010,Cité administrative 2 rue Saint Sever - BP 76001 - 76032 ROUEN CEDEX,1,6,0
77673,13000906100016,17 place de la République 28000 chartres,1,3,0
77822,13000713100019,"15 rue Arthur Ranc 
CS 40537
86020 POITIERS CEDEX",1,7,0
78141,13000796600075,6 places des colombes 35000 RENNES,1,12,0
78286,17780430900199,"Rectorat de Versailles
3, boulevard de Lesseps
78017 Versailles Cedex",1,8,0
78508,17090001300013,adresse,1,1,0
78552,17090001300013,adresse,1,1,0
79041,13000815400010,"Cité administrative, 2 rue Saint Sever, BP76001, 76032 ROUEN Cedex",1,3,0
79219,13000945900012,"DDPP des Côtes d'Armor
9, rue du Sabot
22440 Ploufragan",1,3,0
79927,17670001100016,"5 Place de la République
67073 STRASBOURG CEDEX",1,25,33
79948,17430001200013,6 avenue du Général De Gaulle  CS 40321 – 43009 LE PUY-EN-VELAY Cedex ,1,17,41
80068,17890001500011,"Place de la préfecture 
89000 Auxerre

<a href=""https://www.geoportail.gouv.fr/carte?c=3.5737560596237183,47.798177280033656&z=18&l0=GEOGRAPHICALGRIDSYSTEMS.PLANIGNV2::GEOPORTAIL:OGC:WMTS(1)&l1=ELEVATION.ELEVATIONGRIDCOVERAGE.SHADOW::GEOPORTAIL:OGC:WMTS(1)&permalink=yes"" target=""_blank"">Afficher le lieu dans le Géoportail de l'IGN.</a>",1,19,28
80258,17230001400013,"Place Louis Lacrocq
23011 - GUERET CEDEX",2,6,23
80630,17860430200277,"22 Rue Guillaume VII le Troubadour
CS 40625
86022 Poitiers CEDEX",1,11,0
81457,17370001400017,"15 rue Bernard Palissy 
37925 Tours Cedex 9",1,45,19
82437,17580001000019,"40 rue de la Préfecture
58026 NEVERS CEDEX",1,2,24
83060,17202001800013,Immeuble Bella Vista - Rue Paratojo - 20200 BASTIA,1,10,0
83147,17690001700011,"18 Rue de Bonnel, 69003 Lyon",1,18,17
84054,12001402200020,"2 place des Saussaies, 75008",1,7,2
84416,17690001700011,"97 rue Molière, 69003 Lyon",1,5,0
84690,12002503600035,"DGCCRF, 59 BD VINCENT AURIOL 75703 PARIS CEDEX 13",1,11,0
84950,19920156700013,69 rue de l'Industrie 92700 Colombes,1,3,0
85066,17750430500158,"12, boulevard d'Indochine 75019 PARIS",1,6,0
85165,17750430500158,"12, boulevard d'Indochine 75019 PARIS",1,6,0
85236,17010001000017,45 avenue Alsace Lorraine - CS80400 - 01012 BOURG EN BRESSE CEDEX,1,11,12
85276,17070001700016,"Boulevard de Vernon
07000 PRIVAS",1,5,0
85317,35600082800018,adresse,1,1,0
85354,17360001600013,"Place de la Victoire et des Alliés
CS 80583
36019 - Châteauroux CEDEX",4,21,23
85421,12002503600035,"DGCCRF, 59 BD VINCENT AURIOL 75703 PARIS CEDEX 13",1,11,0
85711,17710001300016,196 rue de Strasbourg 71000 MACON,5,17,0
85996,17340430200015,"Rectorat de l'académie de Montpellier
31, rue de l'Université - CS 39004",1,1,1
86187,13001115800016,"1, avenue Maréchal Foch
CS 20018
27020 EVREUX CEDEX",1,2,0
86544,78861779300013,"22, rue de Lagny - 93100 Montreuil",1,10,38
86680,18002002601504,"6, place des citernes
33059 Bordeaux cedex",1,3,0
86681,17440001000016,"6 quai Ceineray
44000 Nantes",1,15,0
86695,11006801200050,"Tour Séquoia 1 place Carpeaux 92055 LA DÉFENSE CEDEX - Place Beauvau, 75008 PARIS",121,297,20
87191,13002743600018,"SGC 76 - Bureau des actions médico-sociales
7 place de la Madeleine
76036 Rouen Cedex",1,2,3
87603,11000201100044,"Préfecture de région
1 place St Étienne
31000 TOULOUSE
",14,22,3
88208,13001036600016,100 avenue Winston Churchill - CS 10 007 - 62 022 ARRAS CEDEX,1,10,0
88364,11009001600046,"16bis avenue Prieur de la Côte d’Or, 94110 Arcueil Cedex",1,23,0
88429,17620001200019,"Rue Ferdinand Buisson
62020 ARRAS Cedex 9",5,65,3
88784,17780430900199,"3 boulevard de Lesseps
78000 Versailles",5,39,0
89131,17920431800010,167 avenue Joliot Curie 92013 Nanterre Cedex,1,13,5
89176,13001115800016,"1, avenue Maréchal Foch
CS 20018
27020 EVREUX CEDEX",1,2,0
89456,13001085300013,"DDT60 – Service Eau Environnement Forêt (SEEF)
40 rue Jean Racine BP 317
60021 BEAUVAIS CEDEX",1,5,0
89720,13000801400107,"13 rue du Landy 
93210 Saint Denis",1,11,0
90059,35600082800018,"Avenue Demontzey
BP 211
04002 Digne-les-Bains Cedex ",1,7,0
90744,17971430800238,"Parc d'activités la Providence 
ZAC de Dothémare 
BP 480
97183 Les Abymes Cedex
Guadeloupe",1,16,7
90864,17500001700012,"Préfecture de la Manche
Place de la préfecture - BP 70522
50002 Saint-Lô",1,4,0
90886,17720431000680,19 boulevard Paixhans CS 50042 72071 LE MANS Cedex 9,1,20,12
91025,17130430600011,Place Lucien Paye 13621 Aix-en-Provence,2,3,53
92046,17600431500394,22 av Victor Hugo 60000 Beauvais,1,5,0
92319,17450001700010,181 RUE DE BOURGOGNE 45000 ORLEANS ,1,8,0
92648,13000867500188,"1, allée du général Le Troadec
BP 520
56019 VANNES CEDEX",1,3,1
92897,13002916800015,21 rue Madeleine Vionnet 93300 AUBERVILLIERS,1,4,0
92932,17640431700271,"DSDEN des Pyrénées-Atlantiques
Service scolarité et affectations
2 place d'Espagne
64038 PAU CEDEX",1,8,8
93182,19790024400017,"19 rue des Fiefs
79000 NIORT",1,1,0
93193,13002863200011,"1 Boulevard de Berlin
CS 32421
44024 NANTES CEDEX",1,10,4
93248,13002756800018, 10 bd Gaston Serpette - CS 64 213 - 44042 NANTES CEDEX 1,1,2,0
93487,12004101700035,"95, avenue de France, 75013 PARIS",1,12,2
93751,17440430100015,"4 CHEMIN DE LA HOUSSINIERE
44326 NANTES CEDEX 3",1,8,0
94122,35600082800018,adresse,1,5,0
94260,35600082800018,"Centre d'instruction naval de Brest
Ecole de Maistrance
CC 300
29240 Brest cédex 9",2,5,0
94405,13001013500015,16 RUE ANTOINE ZATTARA 13332 MARSEILLE CEDEX 03,1,6,3
94410,17350430900019,"96 rue d'Antrain, 35700 RENNES",1,5,0
94629,19971003900017,Bld de héros 97139 Les Abymes,1,29,0
95328,17340430200015,"31 rue de l'université
34000 MONTPELLIER",1,4,0
95466,19971003900017,Bld de héros 97139 Les Abymes,1,25,0
95488,19971003900017,Bld de héros 97139 Les Abymes,1,34,0
95891,13001062200020,"2 avenue Grüner, CS 90509 - 42007 Saint-Étienne cedex 1",1,3,1
96120,13002643800031,Route des Essarts - 76350 OISSEL,1,8,0
96262,,"Avenue Pouvanaa a Oopa
BP 115 - 98 713 Papeete TAHITI",1,9,0
96286,19920160900013,79 AVENUE CHANDON  92230 GENNEVILLIERS,1,3,0
96705,13001025900021,"1, rue du Parlement, 51000, Châlons-en-Champagne",1,1,0
96727,13000906100016,17 place de la République 28000 chartres,1,3,0
97527,00000000000000,"QUARTIER GENERAL FRERE
22 AVENUE LECLERC
69998 LYON CEDEX 07",1,2,0
97569,19920161700032,152 avenue de Verdun 92130 ISSY-LES-MOULINEAUX,1,3,0
97575,13000948300012,"20 rue de la Providence, BP 80523, 86020 Poitiers Cedex",1,5,1
97697,83876038700012,"12, Avenue Charles de Gaulle
82017 MONTAUBAN cedex",1,4,1
97859,17670430200015,6 rue de la Toussaint 67000 Strasbourg ,3,8,0
97881,19920136900014,1 Place Jules VERNE - 92110 CLICHY,1,6,0
98030,,"rue Daniel Huet 
14000 Caen",1,1,0
98418,20007535600010,Centre d'affaires AGORA Bâtiment A - l'Etang Z'abricot 97200 FORT-DE-FRANCE,1,5,0
98434,26440042500064,"1 rue Jean Sarment, 44210 PORNIC",1,4,0
100112,13002597600015,"INSPE de l'Académie de Versailles
Pilotage de la scolarité
Inscriptions administratives
5 rue Pasteur 78100 Saint-Germain-en-Laye",1,12,0
100600,35600082800018,"rue des Archives, Bisdary 97113 Gourbeyre",1,6,0
101262,19540015500014,"Lycée des métiers entre Meurthe et Sânon - Groupement mutualisateur de paye
2 rue Levassor
54110 DOMBASLE SUR MEURTHE",185,5,2
102098,17920001900018, 167-177 avenue Joliot Curie - 92000 Nanterre,1,3,0
6204,22080004900011,"Hotel du Département - CS 20001
08011 Charleville-Mézières Cedex",1,10,1
7234,,"94 avenue Clémenceau
25000 Besançon",1,3,0
9598,,41 rue du Touffenet 86000 POITIERS,1,4,0
9610,77774937500021,Cours des alliés 35028 Rennes Cedex 9,1,2,0
10278,13000856800060,"Bâtiment Ozone
181 place Ernest Granier - CS 60 556
34 064 Montpellier cedex 02",1,4,0
10293,18005302700017,"142 rue Dumont D'Urville
98713 Papeete - Cedex",1,5,5
10811,21310113200016,"ZI de Vic
4, route d'Escalquens
31320 Castanet-Tolosan",1,6,18
12112,,"10 rue Marcel Barbu
26023 VALENCE CEDEX 9",1,6,0
12197,,BP 721 - 07007 PRIVAS Cedex ,1,6,18
13037,77695044600026,"24 Rue Riquet  
31046 Toulouse Cedex 9",1,5,0
13206,53408952900018,"139 Avenue de Lodève
34943 MONTPELLIER Cedex 9",1,11,0
13621,,"30-32 Boulevard de BURY
16911 ANGOULEME CEDEX9",1,6,0
13859,,"Rue de Beauffort
62000 ARRAS",1,3,0
14564,13001115800016,"1, avenue du Maréchal Foch
CS 20018
27020 EVREUX CEDEX",1,5,0
15191,13000626500016,1 rue Recteur Daure,1,11,10
16093,,"29 Boulevard Roosevelt, 02100 Saint-Quentin",1,2,0
16206,24310063300094,110 rue Marco Polo - 31670 Labège,1,17,0
16421,,17 rue françois de mahy 97410 st pierre,1,6,0
16817,17340431000018,"31 rue de l'université
CS 39004
34 064 Montpellier Cédex 2",1,3,3
17919,77561399500015,11 quai Paul Boudet 53088 LAVAL cedex09,1,4,0
19802,13000793300018,"Le Diapason - 2, Place des Savoirs 
 CS 73535 - 21035 Dijon cedex",1,5,1
23891,17780431700937,"1 place du Beffroi
78990 ÉLANCOURT
",1,8,3
24884,13000935000013,"Cité administrative
Rue de la Cité Administrative - Bâtiment C
BP 47405
31074 Toulouse cedex",1,6,1
26777,17760001200096,"7, place de la Madeleine
76036 ROUEN CEDEX",1,37,42
29948,,"2, esplanade Charles de Gaulle
33000 BORDEAUX",1,33,0
31028,17140001300040,"Rue Daniel Huet 
14038 CAEN Cedex 09
",1,36,6
31266,17750151700011,1 rue de Lutèce  75004 PARIS,1,11,0
32289,13002931700018,1 Boulevard Marius Vivier Merle - 69443 Lyon Cedex 03,52,63,7
32875,17670001100016,05 Place de la République 67 073 STRASBOURG,1,3,0
33232,,Boulevard de France 91000 EVRY-COURCOURONNES,1,40,4
33479,11009001600053,60 boulevard du général Valin - 75 509 PARIS,1,2,2
33791,32025248901075,27 AVENUE DU GENERAL LECLERC 94700 MAISONS ALFORT,1,58,113
33952,21870850100018,62 Quai st martial 87000 Limoges,1,9,0
35085,17320001500019,"3, place du Préfet Claude Erignac - BP 10322 - 32007 AUCH CEDEX",1,20,56
35343,17350001800101,81 bd d'Armorique- 35026 RENNES CEDEX 09,1,13,0
35377,17290001100013,"42 boulevard Dupleix
CS 16033
29320 Quimper cedex",1,29,23
36328,19530040500014,"1 rue Edouard Branly, 53200 CHÂTEAU GONTIER SUR MAYENNE",1,3,0
36493,13000803000012,"rue des archives, Bisdary   97113 GOURBEYRE",1,10,0
38441,12006401900074,"9, rue de champagne, 91200 ATHIS-MONS",1,23,14
38471,17130430600011,"Place Lucien Paye
13090 Aix-en-Provence cedex",11,15,0
39270,13002603200016,"20 avenue de Ségur, 75007 Paris",104,8,276
40374,17350430900019,"Rectorat de l'académie de Rennes
96 Rue d'Antrain
35000 Rennes",1,2,86
41004,22080004900011,"Hôtel du Département - CS 20001
08011 CHARLEVILLE-MÉZIÈRES CEDEX",1,6,0
41418,,"17 Place de la Bourse, 33000 Bordeaux",1,12,1
42959,13002931700018,1 rue du Rieu - BP 60749 - 15007  AURILLAC CEDEX,1,10,0
43570,13002931700018,1 rue du Rieu - BP 60749 - 15007  AURILLAC CEDEX,1,8,0
43758,13002826900012,"5 esplanade Compans Caffarelli
BP 98016
31038 Toulouse Cedex 6",1,6,16
44210,17540001900014,"6, rue Sainte-Catherine
54000 Nancy",1,39,10
44945,13001085300013,"DDT OISE
Bureau Education Routière
2 bd Amyot d'Inville
60000 BEAUVAIS",1,2,0
45051,17920001900091,"2bis rue Damiens, 92100 Boulogne-Billancourt",1,3,0
45178,13000807100123,"241 rue Garibaldi
CS 93383
69418 Lyon CEDEX 03",1,7,7
45960,17540001900014,"6, rue Sainte-Catherine
54000 Nancy",1,38,5
46829,28350356300035,"Village des Collectivités Territoriales
1 avenue de Tizé
CS 13600
35236 THORIGNÉ-FOUILLARD CEDEX",1,6,0
47072,18002002600019,"72 avenue Pierre Mendès-France, 75013, Paris",1,17,2
47325,,"Boulevard Édouard HERRIOT
34500 BÉZIERS",1,5,0
47348,17720001100019,"place Aristide Briand
72000 LE MANS",3,11,12
49614,13000901200167,"DREAL BOURGOGNE FRANCHE-COMTE 5 voie Gisèle Halimi, BP 31269 25005 BESANCON CEDEX",2,3,0
49721,17290001100013,"42, Boulevard Dupleix, 29 320 Quimper cédex",1,29,28
49886,21940041300015,79/81 Ave Danièle Casanova,1,14,3
50108,24440040400129,2 Cours du Champ de Mars 44923 Nantes Cedex 9,1,19,4
50316,,"1848 Route des Pessettes
39220 PREMANON",1,1,0
50514,,"Arche parois sud
92055 La Défense CEDEX",1,589,0
50928,13001124000012,"Cité Administrative
DDTM/SHLCD
Commission Départementale de Conciliation
2, rue Jules Ferry
33090 BORDEAUX Cédex",1,4,0
52250,34070921100080,"216 rue Raymond Losserand, 75014 Paris",1,2,0
53927,17750000600024,"5 rue leblanc, 75015 PARIS",1,10,8
